english,russian,sentence,difficulty
boots,ботинки,Winter **boots** keep feet warm.,2
sneakers,кроссовки,My **sneakers** are getting old.,2
sandals,сандалии,I wear **sandals** in summer.,2
bag,сумка,Put it in the **bag** please.,1
purse,дамская сумочка,Her **purse** matches her shoes.,2
wallet,кошелёк,I lost my **wallet** yesterday.,2
belt,ремень,This **belt** is too tight.,2
watch,часы,My **watch** stopped working last week.,1
ring,кольцо,She got a beautiful **ring**.,2
necklace,ожерелье,The gold **necklace** was expensive.,2
earrings,серьги,These silver **earrings** are lovely.,3
sunglasses,солнечные очки,I need new **sunglasses** for summer.,2
umbrella,зонт,Take an **umbrella**, it's raining.,2
size,размер,What **size** do you wear?,1
fit,подходить,These shoes don't **fit** me.,2
tight,тесный,This shirt feels too **tight**.,2
loose,свободный,I prefer **loose** clothing.,2
snug,облегающий,The jacket has a **snug** fit.,4
color,цвет,What **color** do you like?,1
shade,оттенок,I love this **shade** of blue.,3
pattern,узор,The **pattern** on the dress is pretty.,2
plain,однотонный,I want a **plain** white shirt.,2
striped,полосатый,He bought a **striped** sweater.,3
plaid,клетчатый,Her **plaid** skirt looks classic.,4
cotton,хлопок,This shirt is pure **cotton**.,2
wool,шерсть,The **wool** sweater scratches my skin.,2
silk,шёлк,She owns a **silk** scarf.,2
leather,кожа,The **leather** bag was expensive.,2
denim,джинсовая ткань,I love **denim** jackets.,3
lace,кружево,The dress has white **lace**.,3
velvet,бархат,The **velvet** cushion feels soft.,3
try,примерить,Can I **try** this on?,1
return,вернуть,I want to **return** this item.,2
browse,просматривать,I just want to **browse** the store.,3
choose,выбирать,Help me **choose** a gift.,1
prefer,предпочитать,I **prefer** the black one.,2
afford,позволить себе,I can't **afford** that watch.,3
save,экономить,I want to **save** some money.,2
spend,тратить,Don't **spend** too much today.,2
splurge,шиковать,Let's **splurge** on a nice dinner.,4
queue,очередь,The **queue** at the cashier is long.,3
scan,сканировать,Please **scan** the barcode here.,2
swipe,провести картой,Just **swipe** your card here.,3
pack,упаковать,Can you **pack** this as a gift?,2
ship,отправить,They will **ship** it tomorrow.,2
cheap,дешёвый,This shop is very **cheap**.,1
expensive,дорогой,That watch is too **expensive**.,1
affordable,доступный,We need **affordable** housing options.,3
pricey,дороговатый,This restaurant is quite **pricey**.,3
bargain,выгодная покупка,This coat was a real **bargain**.,3
secondhand,подержанный,I bought a **secondhand** book today.,3
vintage,винтажный,She collects **vintage** dresses.,3
brand,бренд,I prefer this **brand** of shoes.,2
label,этикетка,Check the **label** for washing instructions.,2
premium,премиум,This is our **premium** product line.,3
luxury,роскошь,Handbags are a **luxury** for her.,3
outlet,аутлет,The new **outlet** sells designer shoes cheaply.,3
warehouse,склад,The furniture **warehouse** opens at nine.,2
wholesaler,оптовик,That **wholesaler** only sells to businesses.,4
pawnshop,ломбард,He sold his watch at the **pawnshop**.,3
thrift,комиссионный,She found vintage dresses at the **thrift** store.,3
consignment,комиссионная,The **consignment** shop sells preloved designer bags.,5
flea,блошиный,We found antiques at the **flea** market.,3
bazaar,базар,The **bazaar** was packed with colorful spices.,3
emporium,магазин,That old **emporium** sells rare vinyl records.,5
bodega,лавка,The corner **bodega** sells fresh sandwiches.,4
hypermarket,гипермаркет,The **hypermarket** has everything under one roof.,3
showroom,шоурум,We visited the car **showroom** yesterday.,2
storefront,витрина,The empty **storefront** needs new tenants soon.,3
galleria,галерея,The marble **galleria** houses luxury brands only.,5
dispensary,диспансер,The medical **dispensary** opened last month.,4
haberdashery,галантерея,The old **haberdashery** sells buttons and thread.,5
drugstore,аптека,Pick up aspirin at the **drugstore** please.,2
chemist,аптекарь,Ask the **chemist** about sleep aids.,3
florist,цветочник,The **florist** arranges weddings and funerals.,3
jeweler,ювелир,Our **jeweler** resized the ring perfectly.,3
voucher,ваучер,She redeemed the **voucher** at the register.,3
markdown,уценка,Winter coats got a huge **markdown** today.,4
clearance,распродажа,All jackets on **clearance** must go.,3
ripoff,обдираловка,Those shoes were a total **ripoff**.,4
overpriced,завышенный,This boutique is seriously **overpriced** for tourists.,3
retail,розничный,The **retail** price is much higher.,3
wholesale,оптовый,She buys jewelry at **wholesale** prices.,3
markup,наценка,The **markup** on luxury bags is insane.,4
rollback,снижение,The store announced a price **rollback** today.,4
bundle,комплект,Buy the **bundle** and save twenty dollars.,3
combo,комбо,The **combo** deal includes fries and drink.,2
freebie,халява,They included a small **freebie** with purchase.,4
giveaway,раздача,The store hosted a **giveaway** for followers.,3
blowout,распродажа,The weekend **blowout** sale drew huge crowds.,4
doorbuster,акция,Arrive early for Friday **doorbuster** deals.,5
haggle,торговаться,Tourists love to **haggle** at Turkish markets.,4
barter,бартер,Farmers used to **barter** goods before money.,4
swap,обменять,Can we **swap** this shirt for a bigger one?,2
compare,сравнить,I always **compare** prices before buying anything.,2
redeem,обналичить,You can **redeem** points for free coffee.,4
inspect,осмотреть,Always **inspect** fruit before putting it in.,3
preorder,предзаказ,I placed a **preorder** for the new phone.,3
backorder,дозаказ,The item is on **backorder** until May.,4
restock,пополнить,Staff will **restock** the shelves tonight.,3
display,витрина,That necklace in the **display** caught my eye.,2
mannequin,манекен,The **mannequin** wore a stunning red dress.,3
bin,корзина,Cheap socks filled the bargain **bin**.,2
pallet,паллета,Workers stacked boxes on a wooden **pallet**.,3
countertop,прилавок,The cashier leaned on the **countertop** smiling.,3
turnstile,турникет,Shoppers exit through the metal **turnstile**.,4
barcode,штрихкод,The **barcode** wouldn't scan at checkout.,3
sticker,наклейка,Every item needs a price **sticker**.,2
carton,коробка,He carried a huge **carton** of cereal.,2
parcel,посылка,The **parcel** arrived two days late.,3
packet,пакетик,She grabbed a **packet** of crackers.,2
packaging,упаковка,The **packaging** was damaged during shipping.,3
exclusive,эксклюзивный,This brand offers **exclusive** online deals.,3
membership,членство,A warehouse club **membership** costs sixty dollars yearly.,3
rewards,награды,Her **rewards** card gives ten percent off.,3
flash,молниеносный,The **flash** sale ends in two hours.,3
perk,бонус,Free shipping is a nice **perk**.,3
installment,рассрочка,She paid the fridge in monthly **installment** plans.,4
layaway,отложить,I put the dress on **layaway** yesterday.,5
cashback,кешбэк,My card offers two percent **cashback** on groceries.,3
contactless,бесконтактный,I paid using **contactless** at the till.,3
authentic,подлинный,This leather bag is one hundred percent **authentic**.,3
counterfeit,контрафактный,Police seized thousands of **counterfeit** handbags.,4
flawed,бракованный,She returned the **flawed** ceramic bowl.,4
damaged,повреждённый,The box arrived completely **damaged** yesterday.,3
defective,неисправный,The blender was **defective** out of the box.,4
preowned,подержанный,This watch is **preowned** but mint condition.,4
pristine,идеальный,The vintage jacket was in **pristine** condition.,4
shoddy,низкокачественный,The zipper feels really **shoddy** and cheap.,5
boxed,коробочный,Buy the **boxed** set for a discount.,3
sealed,запечатанный,The product arrived factory **sealed** and safe.,3
giftwrap,подарочная,Can you **giftwrap** this for me please?,3
cardstock,картон,The box uses thick **cardstock** for protection.,5
wishlist,список,I added this lamp to my **wishlist**.,2
dispatch,отправка,Your **dispatch** confirmation arrived by email.,4
courier,курьер,The **courier** left the package at reception.,3
tote,сумка,She carried her shopping in a canvas **tote**.,3
buggy,тележка,He pushed the grocery **buggy** toward his car.,4
fitting,примерочная,I tried the dress in the **fitting** room.,3
tailor,портной,The **tailor** will shorten these pants.,3
alterations,подгонка,Simple **alterations** cost about twenty dollars.,4
bagger,упаковщик,The teenage **bagger** carried my groceries out.,4
till,касса,She placed money in the **till** carefully.,4
shopper,покупатель,Every **shopper** got a free tote bag.,3
stockist,продавец,This brand has only one local **stockist**.,5
haul,добыча,Her shopping **haul** filled the entire trunk.,4
spree,шопинг,She went on a weekend shopping **spree**.,4
unbox,распаковать,Kids love to **unbox** new toys on camera.,3
reusable,многоразовый,Bring your own **reusable** shopping bags.,3
sample,образец,Try a free cheese **sample** at the counter.,3
tester,тестер,Use the **tester** before buying the perfume.,3
pinpad,пинпад,Enter your PIN on the **pinpad** now.,4
pushcart,тележка,The vendor rolled his **pushcart** down the street.,4
gondola,стеллаж,Snacks filled the center **gondola** aisle.,5
endcap,торцевая,The soda display sits on the **endcap**.,5
sellout,распроданный,The concert tickets were a complete **sellout**.,4
wear,носить,What should I **wear** to the wedding?,2
clothes,одежда,I need to buy new **clothes** for work.,2
bought,купил,I **bought** some fresh bread this morning.,2
list,список,Make a shopping **list** before we go.,2
dollars,доллары,This book costs fifteen **dollars**.,1
bunch,куча,I bought a **bunch** of bananas at the store.,2
closed,закрытый,The shop is **closed** on Sundays.,1
sold,продал,We **sold** our old car last month.,2
selling,продающий,They are **selling** their house next month.,2
bucks,баксы,This jacket costs only twenty **bucks** on sale.,3
opens,открывает,The shop **opens** at eight every morning.,2
opening,открывающий,The grand **opening** is next Saturday morning.,3
pair,пара,I need a new **pair** of running shoes.,2
buying,покупка,She is **buying** a new dress for the party.,2
carrying,несущий,She was **carrying** heavy grocery bags home.,2
closes,закрывает,The store **closes** at ten tonight.,1
shopping,шопинг,We went **shopping** for groceries this morning.,1
candy,конфета,Kids love **candy** on Halloween,1
bags,сумки,Put the **bags** in the car trunk,1
material,материал,This shirt is made of soft **material**,2
range,диапазон,This store has a wide **range** of shoes,3
closing,закрытие,The shop is **closing** at nine,2
guarantee,гарантия,This product comes with a one-year **guarantee**.,3
dozen,дюжина,I bought a **dozen** eggs at the market.,2
delivery,доставка,The **delivery** will arrive tomorrow morning.,3
quality,качество,This product is of very high **quality**.,2
shoe,ботинок,I lost my left **shoe** at the beach.,2
supply,поставка,The store has a limited **supply** of bread today.,3
package,посылка,A **package** arrived for you this morning.,2
diamond,бриллиант,He bought her a beautiful **diamond** ring for their anniversary.,2
plastic,пластик,Please stop using **plastic** bags at the grocery store.,2
classic,классический,This little black dress is a true **classic**.,2
centre,центр,The new shopping **centre** opens next Monday.,2
delivered,доставленный,Your package will be **delivered** tomorrow morning.,2
product,продукт,This new **product** sells very well in stores.,2
satisfied,удовлетворённый,The customer was **satisfied** with the service.,3
reasonable,разумный,"The price seems **reasonable**, so I'll buy it today.",2
downtown,центр города,We spent the afternoon shopping **downtown** with friends.,2
diamonds,бриллианты,The necklace was covered in beautiful **diamonds**.,3
minor,несовершеннолетний,Alcohol cannot be sold to a **minor** under any circumstances.,3
chips,чипсы,She grabbed a bag of **chips** and a soda from the vending machine.,1
bottles,бутылки,He bought six **bottles** of sparkling water for the office kitchen.,1
liquor,крепкий алкоголь,The store sells wine and beer but no **liquor** after ten at night.,3
fits,подходит,This jacket **fits** perfectly — I'll take it in blue.,2
item,товар,This **item** is currently out of stock but will be available next week.,3
necessarily,обязательно,More expensive products are not **necessarily** better quality.,3
returns,возврат товара,The store has a strict policy on **returns** for electronic items.,3
warranty,гарантия на товар,The **warranty** covers repairs for two full years after purchase.,3
refurbished,восстановленный,He saved money by buying a **refurbished** laptop instead of a new one.,3
complaint,жалоба,She filed a **complaint** after the shoes fell apart in a week.,3
feedback,отзыв,Leave honest **feedback** so other shoppers know what to expect.,3
assistance,помощь,A store associate offered **assistance** finding the right size.,3
appliance,бытовой прибор,The kitchen **appliance** aisle was packed with blenders and toasters.,3
gadget,гаджет,Dad bought another **gadget** he will probably never use.,3
accessory,аксессуар,She picked up a small **accessory** to complete her outfit.,3
garment,предмет одежды,Every **garment** in the sale section was reduced by forty percent.,4
footwear,обувь,The sports section offers a wide range of **footwear** for all activities.,3
fragrance,парфюм,She tested three perfumes before choosing her favourite **fragrance**.,3
cosmetics,косметика,The beauty counter sells skincare products and **cosmetics** side by side.,3
jewelry,ювелирные украшения,The **jewelry** display near the entrance caught everyone's eye.,2
electronics,электроника,Black Friday is the best time to buy **electronics** at lower prices.,2
stationery,канцтовары,I stopped at the **stationery** section to grab some notebooks and pens.,3
impulse,импульсивная покупка,Those chocolate bars near the register are designed to trigger an **impulse** buy.,4
overspend,тратить слишком много,It is easy to **overspend** when everything is on sale.,3
flyer,рекламная листовка,A **flyer** in the mailbox announced a half-price weekend at the garden centre.,3
catalog,каталог,She browsed the furniture **catalog** before visiting the store.,3
advertisement,реклама,The **advertisement** promised free shipping on orders over fifty dollars.,3
promo,акция,Use this **promo** code at checkout to get fifteen percent off.,3
purchase,покупка,Keep your receipt as proof of **purchase** in case you need a refund.,2
buyer,покупатель,The first **buyer** to arrive got the last discounted television.,3
resale,перепродажа,She listed the dress on a **resale** app and sold it within hours.,4
bespoke,сделанный на заказ,He ordered a **bespoke** suit that was tailored to his exact measurements.,5
handmade,ручной работы,Each **handmade** candle in the shop smells slightly different.,3
custom,изготовленный на заказ,You can order a **custom** phone case with your own photo on it.,3
genuine,подлинный,The seller confirmed the handbag was **genuine** and came with papers.,3
tag,ценник,She flipped the **tag** over and nearly dropped the jacket in shock.,2
inventory,ассортимент,Staff ran a full **inventory** check before the new season started.,4
layby,резервирование товара,She put the pram on **layby** and paid it off over three months.,4
stockroom,подсобное помещение,The assistant disappeared into the **stockroom** to find a smaller size.,3
conveyor,конвейерная лента,Place your items on the **conveyor** belt so the cashier can scan them.,3
shopfront,витрина магазина,The freshly painted **shopfront** attracted new customers off the street.,4
shopkeeper,владелец магазина,The friendly **shopkeeper** offered a free sample with every purchase.,3
shoplifting,кража в магазине,Security cameras are installed to deter **shoplifting** throughout the store.,3
theft,кража,The store installed new alarms after a series of **theft** incidents.,3
catalogue,каталог,The printed **catalogue** arrived in the post before the sale began.,3
lookbook,лукбук,The brand released a stunning autumn **lookbook** on its website.,4
overpay,переплатить,Don't **overpay** for a name brand when the generic is just as good.,3
overcharge,завысить цену,The waiter tried to **overcharge** us but we caught the mistake.,3
shrinkage,потери от краж и усушки,The store manager blamed **shrinkage** for the drop in monthly profits.,5
perishable,скоропортящийся,**Perishable** items like dairy and meat must be refrigerated at all times.,4
flagship,флагманский,The brand's **flagship** store on Fifth Avenue spans five floors.,4
upsell,предлагать товар подороже,The salesperson tried to **upsell** me a more expensive phone model.,4
sustainable,экологичный,More shoppers choose **sustainable** products to reduce their carbon footprint.,3
fairtrade,справедливая торговля,She always buys **fairtrade** coffee to support farmers directly.,4
recyclable,пригодный для переработки,The packaging is made from fully **recyclable** materials.,3
biodegradable,биоразлагаемый,The market switched to **biodegradable** bags to cut plastic waste.,4
shopaholic,шопоголик,My sister is a true **shopaholic** who buys things she never uses.,4
trade-in,обмен старого товара на новый,"The phone shop offers a **trade-in** deal, so you get credit for your old handset.",4
open-box,вскрытая упаковка,The **open-box** television was thirty percent cheaper and worked perfectly.,4
superstore,супермаркет,The new **superstore** on the edge of town sells everything from food to furniture.,3
dealership,автосалон,We spent the afternoon at a car **dealership** comparing different models.,3
bookstore,книжный магазин,She could spend hours browsing the shelves of a good **bookstore**.,2
seller,продавец,The online **seller** had a five-star rating and hundreds of positive reviews.,2
edition,издание,"This is a limited **edition** sneaker, so only five hundred pairs were made.",3
imported,импортный,The shop specialises in **imported** cheese from France and Italy.,3
slogan,слоган,The brand's catchy **slogan** made it instantly recognizable.,4
subscription,подписка,A monthly **subscription** gives you free delivery on all orders.,3
artisan,мастер,The **artisan** bread at the market is baked fresh every morning.,3
handcrafted,изготовленный вручную,Each **handcrafted** leather wallet is unique and takes three hours to make.,4
variety,ассортимент,The new supermarket offers a wider **variety** of imported goods.,2
selection,выбор,The shoe shop has an impressive **selection** of sizes and styles.,2
assortment,набор,The gift box contained an **assortment** of chocolates and teas.,4
certified,сертифицированный,Buy only **certified** electronics to ensure they meet safety standards.,3
reconditioned,восстановленный,The **reconditioned** washing machine came with a six-month guarantee.,5
generic,непатентованный,The **generic** version of the medicine costs half the price.,4
signage,вывески,Clear **signage** helped shoppers find every department in the new store.,4
brand-new,совершенно новый,He insisted on buying a **brand-new** car rather than a used one.,2
giftcard,подарочная карта,She bought a **giftcard** so her nephew could choose his own gift.,3
loyalty card,карта лояльности,Scan your **loyalty card** every time you shop to earn bonus points.,2
price-match,совпадение цен,The electronics store offers a **price-match** guarantee on any product.,4
store credit,кредит магазина,Since there was no receipt the manager offered **store credit** instead.,3
pre-owned,подержанный,The **pre-owned** camera is in excellent condition and costs half the price.,3
floor model,демонстрационный образец,The **floor model** sofa was sold at a big discount on the last day.,4
pamphlet,буклет,A small **pamphlet** explained all the membership benefits at the front desk.,4
leaflet,листовка,A volunteer handed out a **leaflet** advertising the weekend market.,3
tagline,девиз,The brand's new **tagline** appeared on every bag and receipt.,4
