english,russian,sentence,difficulty
remedy,средство,My grandmother's home **remedy** worked overnight.,3,health
cure,лекарство,Scientists are searching for a **cure** tonight.,2,health
therapist,терапевт,Her **therapist** helped her through recovery.,2,health
physical therapy,физиотерапия,He started **physical therapy** after the surgery.,2,health
rehab,реабилитация,She entered **rehab** for her knee injury.,3,health
prognosis,прогноз,The **prognosis** for recovery looks very good.,4,health
diagnosis,диагноз,The **diagnosis** explained all his strange symptoms.,3,health
diagnose,диагностировать,Doctors can now **diagnose** the disease early.,3,health
prescribe,назначать,Only a doctor can **prescribe** this medication.,3,health
inject,вводить,The nurse will **inject** the vaccine slowly.,2,health
injection,инъекция,The **injection** hurt less than I expected.,2,health
vaccinate,прививать,We should **vaccinate** all the children soon.,3,health
vaccination,вакцинация,My child's **vaccination** is scheduled for Friday.,3,health
sedate,усыплять,They had to **sedate** the frightened patient.,4,health
examine,осматривать,The doctor will **examine** you in a minute.,2,health
resuscitate,реанимировать,Medics tried to **resuscitate** the drowning man.,5,health
tendon,сухожилие,He tore a **tendon** playing basketball yesterday.,4,health|sports
ligament,связка,She stretched a **ligament** in her knee badly.,4,health|sports
cartilage,хрящ,The **cartilage** in his knee is wearing down.,5,health
artery,артерия,A blocked **artery** led to his heart attack.,4,health
tumor,опухоль,The doctor found a small **tumor** in her breast.,3,health
ulcer,язва,Stress caused a painful **ulcer** in his stomach.,4,health
hernia,грыжа,He needs surgery for his **hernia** next month.,4,health
arthritis,артрит,Her **arthritis** makes mornings very difficult.,3,health
medical,медицинский,He needs immediate **medical** attention right now.,3,health
drug,лекарство,This **drug** helps with chronic pain.,3,health
emergency,чрезвычайная ситуация,Call 911 in case of an **emergency**.,2,health
operation,операция,The **operation** went smoothly and lasted two hours.,3,health
doctors,врачи,The **doctors** worked hard to save his life.,2,health
patients,пациенты,The doctor sees many **patients** each day.,2,health
treatment,лечение,The doctor recommended a new **treatment** for the illness.,3,health
treated,лечил,The doctor **treated** my broken arm,3,health
cardiologist,кардиолог,The **cardiologist** reviewed his heart scan results carefully.,3,health
neurologist,невролог,A **neurologist** diagnosed her chronic migraine condition.,3,health
oncologist,онколог,The **oncologist** explained the next treatment phase.,3,health
dermatologist,дерматолог,Her **dermatologist** prescribed cream for the stubborn eczema.,3,health
endocrinologist,эндокринолог,The **endocrinologist** adjusted his daily insulin dose.,4,health
gastroenterologist,гастроэнтеролог,A **gastroenterologist** should examine that stomach pain.,4,health
urologist,уролог,The **urologist** ordered a kidney function test.,3,health
pulmonologist,пульмонолог,A **pulmonologist** treats serious lung diseases every day.,4,health
rheumatologist,ревматолог,The **rheumatologist** confirmed his joint inflammation diagnosis.,4,health
gynecologist,гинеколог,She scheduled her yearly **gynecologist** exam next week.,3,health
obstetrician,акушер,The **obstetrician** delivered their first baby last night.,3,health
pediatrician,педиатр,Our **pediatrician** gave the toddler her routine shots.,3,health
radiologist,рентгенолог,The **radiologist** examined her chest scan images closely.,3,health
anesthesiologist,анестезиолог,The **anesthesiologist** monitored vital signs during surgery.,4,health
ophthalmologist,офтальмолог,Her **ophthalmologist** detected early signs of glaucoma.,4,health
psychiatrist,психиатр,A **psychiatrist** prescribed antidepressants for his condition.,3,health
podiatrist,подиатр,The **podiatrist** treated his painful ingrown toenail.,4,health
hematologist,гематолог,A **hematologist** studies blood disorders and diseases.,4,health
nephrologist,нефролог,The **nephrologist** placed him on dialysis treatment.,4,health
angiogram,ангиограмма,His **angiogram** showed two blocked coronary arteries.,4,health
angioplasty,ангиопластика,Doctors performed an emergency **angioplasty** to clear the artery.,4,health
catheter,катетер,The nurse inserted a **catheter** before the procedure.,3,health
laparoscopy,лапароскопия,A **laparoscopy** is less invasive than open surgery.,4,health
chemotherapy,химиотерапия,Her **chemotherapy** caused severe nausea and hair loss.,3,health
radiotherapy,лучевая терапия,Daily **radiotherapy** sessions shrank the brain tumor.,4,health
immunotherapy,иммунотерапия,**Immunotherapy** helps the body fight cancer cells naturally.,4,health
dialysis,диализ,He goes to **dialysis** three times every week.,3,health
transplant,трансплантация,The kidney **transplant** saved his life last year.,3,health
amputation,ампутация,The **amputation** was the only remaining option.,4,health
eeg,ээг,An **eeg** recorded unusual brain wave activity.,4,health
echocardiogram,эхокардиограмма,An **echocardiogram** shows how the heart valves move.,4,health
urinalysis,анализ мочи,A routine **urinalysis** detected traces of blood.,4,health
cholesterol,холестерин,His **cholesterol** level remains dangerously high today.,3,health
carcinoma,карцинома,The biopsy confirmed a small skin **carcinoma**.,4,health
leukemia,лейкемия,Childhood **leukemia** has become much more treatable.,4,health
lymphoma,лимфома,The **lymphoma** responded well to immunotherapy treatment.,4,health
hypertension,гипертония,Chronic **hypertension** can damage your kidneys and heart.,3,health
arrhythmia,аритмия,His **arrhythmia** was controlled with daily medication.,4,health
aneurysm,аневризма,Doctors discovered a small aortic **aneurysm** during screening.,4,health
embolism,эмболия,A pulmonary **embolism** can be rapidly fatal.,4,health
pneumonia,пневмония,The elderly patient developed **pneumonia** after surgery.,3,health
bronchitis,бронхит,Her chronic **bronchitis** worsens during cold weather.,3,health
tuberculosis,туберкулёз,**Tuberculosis** still affects millions of people worldwide.,3,health
hepatitis,гепатит,He tested positive for **hepatitis** during his checkup.,3,health
cirrhosis,цирроз,Heavy drinking caused his advanced liver **cirrhosis**.,4,health
osteoporosis,остеопороз,**Osteoporosis** makes bones fragile and easily broken.,4,health
dementia,деменция,Her grandmother struggles with early stage **dementia**.,3,health
melanoma,меланома,Early detection of **melanoma** saves countless lives.,4,health
sepsis,сепсис,The wound infection progressed to severe **sepsis**.,4,health
analgesic,обезболивающее,The dentist gave him a strong **analgesic** afterward.,4,health
antiviral,противовирусное,The **antiviral** medication shortened her flu symptoms.,3,health
antifungal,противогрибковое,An **antifungal** cream cleared up her skin rash.,4,health
antihistamine,антигистамин,She takes an **antihistamine** for her seasonal allergies.,3,health
decongestant,противозастойное,A nasal **decongestant** helped clear his blocked nose.,3,health
diuretic,диуретик,The **diuretic** reduced his swelling and blood pressure.,4,health
insulin,инсулин,He injects **insulin** every morning before breakfast.,3,health
placebo,плацебо,The **placebo** group showed surprising improvement anyway.,3,health|science
jaundice,желтуха,The baby developed mild **jaundice** right after birth.,4,health
lesion,повреждение,The **lesion** on his arm needed a biopsy.,4,health
spasm,спазм,A sudden muscle **spasm** made him drop the glass.,3,health
tremor,тремор,His hand **tremor** worsened over the last year.,3,health
paralysis,паралич,The stroke caused temporary **paralysis** on her left side.,4,health
vertigo,головокружение,Severe **vertigo** left him unable to stand upright.,4,health
diarrhea,диарея,The child had **diarrhea** for three straight days.,2,health
constipation,запор,Fiber really helps prevent **constipation** in older adults.,3,health
tachycardia,тахикардия,**Tachycardia** means the heart beats too quickly.,4,health
ventilator,аппарат ивл,The patient needed a **ventilator** to breathe properly.,3,health
cpr,сердечно-лёгочная реанимация,The bystander performed **cpr** until the ambulance arrived.,3,health
defibrillator,дефибриллятор,The **defibrillator** restored his normal heart rhythm instantly.,4,health
transfusion,переливание крови,He received a blood **transfusion** after the accident.,3,health
donor,донор,The organ **donor** saved three different lives.,3,health
chronic,хронический,She has suffered from **chronic** back pain for years.,3,health
acute,острый,The **acute** appendicitis required immediate surgical intervention.,3,health
benign,доброкачественный,Thankfully the tumor turned out to be **benign**.,3,health
malignant,злокачественный,The cells were identified as **malignant** under microscope.,4,health
remission,ремиссия,Her cancer has been in full **remission** for years.,4,health
quarantine,карантин,Infected patients remained in **quarantine** for two weeks.,3,health
contagious,заразный,The measles virus is highly **contagious** among children.,3,health
antibody,антитело,The blood test measured his **antibody** levels precisely.,3,health|science
chiropractor,хиропрактик,The **chiropractor** adjusted his lower back gently.,3,health
painful,болезненный,The injection was more **painful** than I expected.,3,health
informed,осведомлённый,The doctor kept the patient fully **informed** about the risks of surgery.,4
procedure,процедура,The nurse explained the entire **procedure** before the blood test began.,4,health
stable,стабильный,The patient's condition remained **stable** throughout the night.,4,health
corpse,труп,The detective found a **corpse** buried beneath the floorboards of the old house.,4
resistance,сопротивление,The bacteria showed **resistance** to the standard antibiotic treatment.,5,science
fits,припадки,The doctor said the child's **fits** were caused by a high fever.,4,health
abuse,злоупотреблять,Doctors warned him not to **abuse** painkillers after the surgery.,4,health
deadly,смертоносный,The doctors identified a **deadly** strain of bacteria resistant to antibiotics.,4,health
multiple,несколько,The patient underwent **multiple** surgeries over the course of a year.,4
explained,объяснил,The doctor **explained** the procedure clearly before asking for consent.,3
labor,работа,She went into **labor** early and was rushed to the hospital.,4,health
drops,капли,The doctor prescribed eye **drops** to reduce the inflammation.,3,health
concerns,опасения,"The doctor listened carefully to her **concerns**, then ordered some tests.",3
severe,тяжёлый,The doctor warned that the infection was **severe** and needed strong antibiotics.,4,health
stab,удар ножом,The detective found a single **stab** wound on the victim's left side.,5
vessel,сосуд,The surgeon carefully repaired the damaged blood **vessel** during the three-hour operation.,5,health
autopsy,вскрытие,The **autopsy** revealed that the victim had been poisoned rather than injured in a fall.,5
advise,советовать,The doctor will **advise** you on the best course of treatment after the test results come in.,3,health
operating,операционный,The hospital expanded its **operating** theatre to handle more complex surgeries.,4,health
breast,грудь,The doctor examined her **breast** during the routine checkup.,4,health
