english,russian,sentence,difficulty
wildlife,дикая природа,The park protects many kinds of **wildlife**.,3
predator,хищник,Every **predator** needs a steady food supply.,3
extinct,вымерший,Many large animals are now **extinct**.,3
endangered,под угрозой исчезновения,Pandas remain an **endangered** species today.,3
pollution,загрязнение,Air **pollution** harms plants and animals.,3
conservation,охрана природы,Local groups support forest **conservation** efforts.,4
ecosystem,экосистема,A healthy reef is a complex **ecosystem**.,4
shore,берег,We walked along the rocky **shore** at sunset.,2
coast,побережье,Fishermen lived near the windy **coast**.,2
reef,риф,Colorful fish darted around the coral **reef**.,3
clay,глина,Red **clay** stuck to our shovels.,3
shrub,кустарник,A thick **shrub** hid the rabbit hole.,3
pasture,пастбище,Cows wandered across the green **pasture**.,3
orchard,сад,Apples ripened in the old **orchard**.,3
grove,роща,We picnicked in a small olive **grove**.,4
ground,земля,The apple fell to the **ground**.,2
blow,дуть,The wind will **blow** hard tonight.,2
green,зелёный,The grass is very **green** in spring.,1
village,деревня,My grandparents live in a small **village**.,3
animals,животные,Wild **animals** live in this forest.,1
nature,природа,I love walking in **nature** on weekends.,2
dogs,собаки,Two **dogs** were playing in the park.,1
animal,животное,A strange **animal** appeared in our garden.,1
flowers,цветы,He brought her red **flowers** for her birthday.,1
stars,звёзды,The **stars** are bright tonight in the sky.,2
leaves,листья,The tree **leaves** turn red in autumn.,2
female,женский,The **female** lion hunts for the pride.,3
male,мужской,The **male** bird has brighter colors than the female.,3
birds,птицы,Colorful **birds** sing in our garden every morning.,1
falling,падающий,The leaves are **falling** from the trees now.,2
horses,лошади,Three **horses** were running across the field.,2
path,тропинка,Follow the narrow **path** through the woods.,2
trees,деревья,The park has hundreds of old **trees**.,1
farm,ферма,My uncle owns a small **farm** in the countryside.,2
woods,лес,The children played in the **woods** near home.,2
forces,силы,Strong winds are natural **forces** of nature.,3
changing,меняющийся,The weather is **changing** very quickly today.,2
clears,очищает,The wind **clears** the smoke from the valley.,3
golden,золотой,The **golden** sunset painted the entire sky.,2
appear,появляться,Stars **appear** in the sky after sunset.,2
trap,ловушка,The hunter set a **trap** for the fox.,2
poison,яд,"Some mushrooms contain deadly **poison**, so be careful.",3
hunt,охота,They went on a deer **hunt** last weekend.,3
rat,крыса,A **rat** was hiding behind the trash can.,2
source,источник,This river is the main water **source** for the town.,3
smells,пахнет,This flower **smells** absolutely wonderful.,2
edge,край,Don't stand near the **edge** of the cliff,2
mountains,горы,We hiked in the **mountains** last summer,2
appears,появляется,A rainbow **appears** after the rain,2
surface,поверхность,Ice forms on the **surface** of the lake,3
hunting,охота,**Hunting** is forbidden in this forest,3
falls,падает,A leaf slowly **falls** from the tree,2
fallen,упавший,A **fallen** tree blocked the road,3
beast,зверь,The **beast** lived deep in the forest,3
creature,существо,A strange **creature** appeared in the woods,3
blew,дул,The wind **blew** all night long,2
kinds,виды,There are many **kinds** of birds in the forest,1
bull,бык,The angry **bull** charged at the farmer,2
blows,дует,The wind **blows** through the open window,2
wings,крылья,The bird spread its **wings** and flew away,2
sand,песок,The children built a castle from **sand**.,1
bay,залив,The boats rested quietly in the **bay**.,3
blowing,дует,The wind is **blowing** hard this afternoon.,2
chick,цыплёнок,The little **chick** just came out of the egg.,2
heavily,тяжело/сильно,It was raining **heavily** all night long.,3
virgin,нетронутый/девственный,They hiked through the **virgin** forest.,4
approaching,приближающийся,A storm is **approaching** from the west.,3
kills,убивает,This poison **kills** insects very quickly.,3
shine,сиять,The stars **shine** brightly above the quiet lake tonight.,2
mighty,могучий,The **mighty** river carved a deep canyon through the rock.,4
protecting,защищающий,The mother bird is **protecting** her babies from the storm.,2
creatures,существа,Strange **creatures** live deep in the ocean near volcanic vents.,3
orange,оранжевый,The leaves turn **orange** and red every autumn season.,1
throughout,на протяжении,It rained **throughout** the entire weekend.,3
burns,горит,Wood **burns** faster than coal in the fireplace.,3
distant,далёкий,We could hear **distant** thunder over the hills.,3
surrounded,окружённый,The small village is **surrounded** by tall mountains.,3
struck,ударил,Lightning **struck** the tree in our backyard.,3
temperature,температура,The **temperature** dropped below zero last night.,2
waves,волны,Big **waves** crashed against the rocky shore.,2
tribe,племя,An ancient **tribe** once lived in this valley.,3
incredibly,невероятно,The mountain view was **incredibly** beautiful at sunset.,3
tracks,следы,The hunter followed fresh **tracks** through the snow.,3
environment,окружающая среда,We must protect the **environment** from pollution.,3
territory,территория,The wolves defended their **territory** from intruders.,3
gray,серый,The sky turned **gray** just before the storm hit.,1
shelter,приют,Homeless families need **shelter** during harsh winter nights.,3
appeared,появился,A rainbow **appeared** after the storm finally ended.,2
flies,летает,A small bird **flies** past my window every morning.,2
kit,комплект снаряжения,"The camping **kit** included a tent, sleeping bag, and water filter.",3
clouds,облака,Dark **clouds** gathered on the horizon before the storm hit.,2
extreme,экстремальный,The hikers were not prepared for the **extreme** cold at the summit.,3
grey,серый,The sky turned **grey** and heavy just before the afternoon downpour.,2
stable,конюшня,The horses were kept in a **stable** behind the old farmhouse.,3
attacks,нападает,The dog **attacks** strangers whenever it is left off its leash.,3
destruction,разрушение,The flood caused massive **destruction** throughout the coastal town.,4
protected,защищённый,These rare birds are **protected** by law and cannot be hunted.,3
southern,южный,The **southern** coast of the island has the most beautiful beaches.,3
matches,спички,We forgot to bring **matches** so we could not light the campfire.,2
supplies,припасы,The team packed enough **supplies** for a five-day hiking trip.,3
waters,воды,The boat sailed through the calm **waters** of the bay at sunset.,3
peaceful,мирный,The park by the river is the most **peaceful** spot in the city.,2
goat,коза,The children laughed as the **goat** tried to eat the farmer's hat.,2
tend,ухаживать,The gardener came twice a week to **tend** to the rose bushes.,3
survival,выживание,The hikers took a course in **survival** skills before their expedition.,4
exposed,незащищённый,The hikers were **exposed** to freezing wind on the open ridge.,3
bears,медведи,Hikers were warned that **bears** had been spotted near the campsite.,3
magnificent,великолепный,The view from the top of the mountain was absolutely **magnificent**.,3
native,местный,The guide showed us plants that were **native** to this region of the forest.,3
colors,цвета,The autumn leaves turned brilliant **colors** of red orange and gold.,1
halfway,на полпути,We were **halfway** through the hike when it started to rain.,3
barn,амбар,The farmer stored all the hay inside the old **barn** for the winter.,3
farmer,фермер,The **farmer** woke up before sunrise to feed the animals every morning.,2
sticks,палки,The children collected **sticks** from the forest to build a small shelter.,2
drops,падает,The temperature **drops** sharply at night in the desert.,3
fires,пожары,Forest **fires** spread rapidly during the dry summer months.,4
vast,огромный,The **vast** desert stretched for hundreds of kilometers in every direction.,4
